source_id,derived_from,configuration,alpha_deg,omega_b_over_2V,zero_replicate,dCA_dBeta_per_rad,dCN_dBeta_per_rad,dCm_dBeta_per_rad,dCY_dBeta_per_rad,dCl_dBeta_per_rad,dCn_dBeta_per_rad,delta_beta_deg,derivation,qa_status
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.10,,-0.005730,0.114592,0.000000,-0.747710,-0.059015,0.058155,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.20,,-0.037242,0.429718,0.014324,-0.764899,-0.055290,0.058442,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.30,,-0.054431,0.630254,0.054431,-0.822194,-0.074485,0.058728,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.40,,-0.071620,0.802141,0.074485,-0.853707,-0.080501,0.056150,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.40,,-0.034377,-0.830789,0.524256,-0.996947,-0.028361,0.042972,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.30,,-0.020054,-0.601606,0.366693,-0.948245,-0.046123,0.055004,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.20,,-0.017189,-0.429718,0.237777,-0.847978,-0.086517,0.060447,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.10,,-0.002865,-0.200535,0.094538,-0.807870,-0.096257,0.064458,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.05,,-0.002865,-0.114592,0.040107,-0.796411,-0.087090,0.066463,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,-0.03,,0.000000,-0.085944,0.020054,-0.807870,-0.037529,0.066463,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.00,1,0.005730,-0.114592,0.051566,-0.859437,0.006875,0.067323,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.00,2,0.000000,-0.085944,0.051566,-0.850842,0.006589,0.067895,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.03,,-0.008594,-0.085944,0.025783,-0.816465,0.051280,0.065031,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.05,,-0.005730,0.000000,0.031513,-0.825059,0.100268,0.064458,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.10,,-0.011459,0.057296,0.060161,-0.802141,0.196238,0.061593,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.20,,-0.011459,0.315127,0.120321,-0.833654,0.381017,0.059301,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.30,,-0.008594,0.544310,0.146104,-0.885220,0.554337,0.055863,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,5,0.40,,0.000000,0.658901,0.154699,-0.959704,0.742840,0.042972,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.40,,-0.008594,-0.401070,0.524256,-1.085755,-0.043831,0.009167,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.30,,-0.074485,0.171887,0.401070,-0.979758,-0.069041,0.033232,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.20,,-0.123186,0.458366,0.272155,-0.868031,-0.094252,0.050420,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.10,,-0.157563,0.716197,0.114592,-0.773493,-0.120321,0.055577,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.05,,-0.157563,0.773493,0.034377,-0.736251,-0.073625,0.056150,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,-0.03,,-0.160428,0.802141,-0.002865,-0.741980,-0.035523,0.056150,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.00,1,-0.140375,0.802141,-0.048701,-0.813600,-0.001432,0.057582,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.00,2,-0.140375,0.773493,-0.045837,-0.816465,-0.000573,0.055290,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.03,,-0.134645,0.802141,-0.077349,-0.759169,0.033805,0.054145,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.05,,-0.134645,0.773493,0.074485,-0.770628,0.071333,0.053858,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.10,,-0.123186,0.859437,-0.174752,-0.790682,0.147537,0.052426,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.20,,-0.105997,0.830789,0.183346,-0.868031,0.286192,0.046410,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.30,,-0.065890,0.802141,0.249237,-0.982623,0.438313,0.034664,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,10,0.40,,-0.005730,0.859437,-0.730521,-1.039918,0.627962,0.018335,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,-0.30,,-0.011459,-0.171887,0.572958,-0.839383,-0.045550,-0.020054,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,-0.20,,-0.011459,-0.171887,0.395341,-0.759169,-0.087376,0.013751,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,-0.10,,-0.014324,-0.057296,0.200535,-0.676090,-0.115165,0.033232,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,-0.05,,-0.011459,-0.114592,0.128916,-0.696144,-0.122899,0.039821,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,-0.03,,-0.011459,-0.114592,0.134645,-0.693279,-0.125478,0.042112,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.00,1,-0.005730,-0.143239,0.174752,-0.759169,-0.128629,0.044118,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.00,2,-0.008594,-0.114592,0.169023,-0.744845,-0.128056,0.041826,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.03,,0.000000,-0.114592,0.126051,-0.713332,-0.125764,0.042685,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.05,,0.002865,-0.085944,0.137510,-0.716197,-0.124332,0.042112,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.10,,0.002865,-0.057296,0.146104,-0.721927,-0.123472,0.036383,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.20,,-0.002865,-0.028648,0.186211,-0.799276,-0.105997,0.020054,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.30,,0.008594,0.028648,0.283614,-0.853707,-0.065031,-0.018048,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,15,0.40,,-0.005730,0.200535,0.392476,-0.856572,-0.025497,-0.052139,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,-0.30,,-0.034377,0.143239,0.653172,-0.813600,0.035810,-0.087663,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,-0.20,,-0.051566,0.200535,0.381017,-0.664631,0.001146,-0.050134,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,-0.10,,-0.057296,0.171887,0.174752,-0.564363,-0.028934,-0.020054,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,-0.05,,-0.060161,0.114592,0.105997,-0.558634,-0.031226,-0.010027,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,-0.03,,-0.057296,0.057296,0.111727,-0.555769,-0.008308,-0.007735,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.00,1,-0.028648,-0.057296,0.143239,-0.644578,0.007448,-0.008308,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.00,2,-0.045837,0.028648,0.146104,-0.621659,0.010886,-0.012319,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.03,,-0.017189,-0.114592,0.111727,-0.587282,0.023205,-0.007735,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.05,,-0.011459,-0.171887,0.120321,-0.607335,0.043545,-0.008021,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.10,,0.000000,-0.315127,0.137510,-0.627389,0.086230,-0.014324,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,20,0.20,,0.017189,-0.487014,0.200535,-0.724792,0.172747,-0.034950,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
